service_display_name,name,quantity,unit,location,unit_price_eur,total_price_eur,source,notes
Cloud Server,CX22 shared vCPU (2 vCPU / 4 GB RAM / 40 GB NVMe),1,month,nbg1,4.49,4.49,plan-description,"Rung 0. Runs caddy + server + developer + mcp + postgres + redis. Price stated as of the 2026-04-01 increase; the 2026-06-15 adjustment applies to new orders, so budget slightly above this."
Backups,Automatic server backups (rolling slots),1,month,nbg1,0.90,0.90,derived,"Hetzner prices backups as a percentage of server cost (~20%). 4.49 * 0.20 = 0.898. Enabled via the hcloud_server module's backups_enabled variable."
Volume,Block volume for the Postgres data directory,10,GB-month,nbg1,UNVERIFIED,UNVERIFIED,UNVERIFIED,"Optional at rung 0: data_volume_size_gb defaults to 0, keeping Postgres on a named docker volume on the 40 GB boot disk, which is ample for a ~63 MB compressed dataset. Kept as a separate line because volume storage scales independently of server type -- see hetzner-topology.md rung 1."
Object Storage,Offsite nightly pg_dump target (Storage Box or S3-compatible),1,month,fsn1,UNVERIFIED,UNVERIFIED,UNVERIFIED,"Required by the backup task: an on-box backup does not survive the failure mode it exists for. Smallest tier suffices for a ~63 MB compressed nightly dump at local-style retention."
Public IPv4,Primary IPv4 address,1,month,nbg1,UNVERIFIED,UNVERIFIED,UNVERIFIED,"Hetzner bills IPv4 separately from the server. Required: Caddy must answer the ACME HTTP-01 challenge on port 80."
,,,,,,,,
,,,,,Subtotal (sourced rows only):,5.39,,"CX22 + backups. Matches the plan's ~EUR 5.50/mo all-in target."
,,,,,,,,
"CROSS-PROVIDER COSTS -- not billed by Hetzner, but caused by this deployment",,,,,,,,
Artifact Registry,Retained image storage from dual-push,,month,us-west2,UNVERIFIED,UNVERIFIED,UNVERIFIED,"Dual-push (GHCR + Artifact Registry) is a permanent decision, not transitional, so AR storage billing continues. Cost grows without bound: sha-tagged images accumulate forever and no retention policy exists. This is one of the two reasons .github/workflows/openthrottle-docker.yml is currently disabled (if: false); the other is the absent build cache. GHCR itself is free for public repositories. Quantify from actual AR storage before re-enabling -- see docs/monorepo/ci-cost.md."
GCS,Terraform state for the hcloud root,,month,US,negligible,negligible,derived,"The hcloud environment root reuses the existing versioned state bucket under a distinct key rather than migrating state. A few state files add no measurable cost. Being on GCS does not make a Hetzner deployment a GCP deployment."
,,,,,,,,
"METHODOLOGY -- read before extending this file",,,,,,,,
"This is the sibling of gcp-estimate.csv, not its replacement. Both providers stay supported, so both keep a live estimate. See provider-contract.md.",,,,,,,,
"Postgres and Redis have NO line item here, and that is the entire cost story of the Hetzner path: they are containers on the box, not managed services. Do not add rows for them. On the GCP path they are Cloud SQL + Memorystore, which is where that estimate's bulk sits.",,,,,,,,
"Do NOT copy gcp-estimate.csv's methodology. It prices Cloud SQL for MySQL while the stack runs Postgres, so its 52.61 USD total is wrong in kind, not just in degree. Fixing that file is out of scope for this plan but is a known defect (provider-contract.md, 'Known defects on the GCP path').",,,,,,,,
"That 52.61 USD/mo has also never been billed: the GCP application composition is commented out in environments/staging/openthrottle.tf and absent from production and development. It is a projection of what the GCP path would cost if applied.",,,,,,,,
"Cells marked UNVERIFIED are prices this estimate could not source. Fill them from https://www.hetzner.com/cloud/ (server + backup pricing) and the Hetzner Cloud Console (volume, IPv4) before treating any total here as a budget figure. Keep the source column populated so a later reader can tell a sourced price from a guessed one.",,,,,,,,
